Reading,Currency,Max,Min,Mean,Vol,FD,R
14,USD_MXN,19.30179,19.3005,19.3009879,0.00129,3209.302325581395,1.46e-05
14,EUR_USD,1.03545,1.03502,1.0352122,0.00043,10767.441860465116,-6.13e-05
14,EUR_JPY,143.83,143.765,143.8057,0.065,115.53846153846153,0.0002018
14,USD_CZK,23.502,23.48515,23.4973778,0.01685,214.8367952522255,6.4e-05
14,USD_PLN,4.5213805,4.518989,4.519936,0.0023915,4842.1492786953795,6.11e-05
14,USD_INR,81.68085,81.66275,81.6723811,0.0181,162.98342541436463,-4.49e-05
15,AUD_USD,0.6657,0.6653,0.6654327,0.0004,12825.0,-0.0001177
15,GBP_EUR,1.155705,1.1554,1.1555717,0.000305,10721.311475409837,-5.01e-05
15,USD_CAD,1.34875,1.34835,1.3485308,0.0004,9300.0,0.0001207
15,USD_JPY,138.908,138.8385,138.8780514,0.0695,74.96402877697841,-0.0002681
15,USD_MXN,19.30239,19.29697,19.3006477,0.00542,1463.0996309963098,-1.76e-05
15,EUR_USD,1.03545,1.03515,1.035291,0.0003,17100.0,7.61e-05
15,EUR_JPY,143.82,143.725,143.7779264,0.095,65.47368421052632,-0.0001931
15,USD_CZK,23.5034,23.4842,23.4972504,0.0192,113.02083333333334,-5.4e-06
15,USD_PLN,4.5205725,4.518715,4.5195317,0.0018575,4269.179004037685,-8.94e-05
15,USD_INR,81.68405,81.6555,81.6744703,0.02855,250.43782837127847,2.56e-05
16,AUD_USD,0.6657,0.6653,0.6655204,0.0004,14900.0,0.0001318
16,GBP_EUR,1.1557,1.155345,1.1555511,0.000355,22338.028169014084,-1.78e-05
16,USD_CAD,1.34855,1.348195,1.3483705,0.000355,21183.098591549293,-0.0001189
16,USD_JPY,138.875,138.84,138.8540486,0.035,77.99999999999999,-0.0001728
16,USD_MXN,19.3011,19.2979,19.3003332,0.0032,606.25,-1.63e-05
16,EUR_USD,1.03555,1.03525,1.0354042,0.0003,27166.666666666668,0.0001093
16,EUR_JPY,143.79,143.745,143.7692586,0.045,83.77777777777777,-6.03e-05
16,USD_CZK,23.497,23.4815,23.4938482,0.0155,154.83870967741936,-0.0001448
16,USD_PLN,4.51993,4.51816,4.5191011,0.00177,6983.050847457626,-9.53e-05
16,USD_INR,81.68355,81.6555,81.6745674,0.02805,106.95187165775403,1.2e-06
